HDI Rank,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010-2019
69, Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74,..,74
36, Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,..,100
148, Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,..,..,..,17
78, Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91,100,..,100
46, Argentina,..,..,..,..,..,..,..,..,..,37,..,..,..,..,..,56,56,55,..,..,55
81, Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,100
8, Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
88, Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57,61,62,..,62
42, Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,..,100
133, Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,35,..,35
53, Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86,89,91,..,91
14, Belgium,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,..,100
129, Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77,..,77
107, Bolivia (Plurinational State of),..,..,..,..,..,..,..,..,..,..,..,..,..,19,..,..,..,..,..,..,19
100, Botswana,..,..,..,..,..,..,..,..,..,..,..,..,86,..,..,..,..,..,..,..,86
84, Brazil,..,..,..,..,..,..,..,..,..,..,69,..,..,..,..,..,..,83,..,..,83
182, Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,2,..,2
185, Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,1
126, Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,..,..,100
153, Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,..,..,..,23
85, China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,98,98,..,98
83, Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79,70,66,..,66
156, Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,11
62, Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51,64,61,..,61
70, Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49,..,49
10, Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,100
94, Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,..,..,..,93
86, Ecuador,..,..,..,..,..,..,..,..,..,46,..,..,..,..,..,..,69,70,71,..,71
116, Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49,..,..,..,49
124, El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,43,..,43
29, Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
138, Eswatini (Kingdom of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69,..,..,..,69
11, Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
26, France,93,..,..,..,..,99,..,..,..,..,..,..,..,..,..,99,99,99,..,..,99
61, Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,..,100
138, Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,..,20
74, Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,..,100
127, Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,..,..,..,44
4," Hong Kong, China (SAR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,95,95,..,95
40, Hungary,..,..,79,84,90,96,99,98,98,98,98,98,98,98,98,99,99,..,..,..,99
107, Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61,..,61
70, Iran (Islamic Republic of),..,..,..,..,..,..,..,..,..,..,..,..,36,..,..,..,..,..,..,..,36
19, Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,85,85,..,..,..,85
29, Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88,..,..,..,88
101, Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73,73,..,..,73
102, Jordan,..,..,..,..,..,..,..,..,..,..,..,82,..,..,..,..,..,..,74,..,74
23, Korea (Republic of),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
120, Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,..,..,44
37, Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,100
92, Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,..,94
164, Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,6
62, Malaysia,..,..,..,..,..,..,..,..,..,..,..,96,..,..,..,..,100,100,96,..,96
95, Maldives,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,100
66, Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,97,97,99,95,94,91,..,91
74, Mexico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53,..,..,..,53
90, Moldova (Republic of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,87,94,..,94
.., Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100
99, Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,..,..,..,83
121, Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,90,..,90
147, Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,6,..,6
8, Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1, Norway,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100
60, Oman,..,..,..,..,..,..,..,..,..,..,..,87,..,..,..,..,100,100,100,..,100
115," Palestine, State of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,72,95,..,95
103, Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,..,..,..,22
79, Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,71,74,..,74
35, Poland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,100
38, Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,100
